Title,Author,Format-Year
Learning Spanish-beginner I,"Iris Acevedo A.; Spanishonline, Costarica","eBook, 2025 — Spanish"
Real-World Spanish: The Conversation Learning System,Camila Vega Rivera,"eAudiobook, 2025"
100 Facts About Learning Spanish,Science-Based Language Learning Lab,"eAudiobook, 2024"
A Beginner's Guide to Learning Spanish,"Miller, Jackson","eAudiobook, 2024"
100 Facts About Learning Spanish,Science-Based Language Learning Lab,"eBook, 2024"
No Tears Spanish Grammar: Easy Learning: Essential Rules for Beginners,"Bennett, Olivia","eBook, 2024"
Learning Spanish for Adults Beginner,"World, Spain","eBook, 2023"
Learning to Read in English and Spanish Made Easy,"Navarijo, Susie G.","eBook, 2022"
Spanish for Beginners: A Comprehensive Guide for Learning the Spanish Language Fast,Language Equipped Travelers,"eBook, 2021"
"Spanish: Beginner's Step by Step Course to Quickly Learning the Spanish Language, Spanish Grammar &","Michaels, Steven J.","eBook, 2021"
Learn Spanish Like a Native for Beginners - Level 1: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,"eBook, 2021"
Learn Spanish Like a Native for Beginners - Level 2: Learning Spanish in Your Car Has Never Been Eas,Learn Like a Native,"eBook, 2021"
I'm Learning Spanish,"Gardner, James M.","eAudiobook, 2020 — Chinese"
I am learning Spanish,"Gardner, James M.","eAudiobook, 2018"
The Best Spanish Learning Games for Children,"Professor, Baby","eBook, 2017"
Spanish Easy Learning Complete Course,"Carmen García del Río; Fitzsimons, Ronan","eAudiobook, 2016"
Easy Learning Spanish Vocabulary,"Dictionaries, Collins","eBook, 2016 — Spanish"
Learning the Local Language: Your Guide to Real World Spanish,"Romey, Jared","eBook, 2013"
The Evolution of the Spanish Language,Unknown,"Streaming Video, 2017"
Essentials for Success with Spanish,Unknown,"Streaming Video, 2017"
Uses of the Infinitive,Unknown,"Streaming Video, 2017"
Expressing Emotion with the Subjunctive,Unknown,"Streaming Video, 2017"
Advanced Work with the Preterite Tense,Unknown,"Streaming Video, 2017"
Introduction to the Imperfect Tense,Unknown,"Streaming Video, 2017"
The Present Tense and Prepositions,Unknown,"Streaming Video, 2017"
The Conditional Tense,Unknown,"Streaming Video, 2017"
The Future Tense,Unknown,"Streaming Video, 2017"
The Present Perfect Tense,Unknown,"Streaming Video, 2017"
Regular -er and -ir Verbs in the Present,Unknown,"Streaming Video, 2015"
Subject Pronouns and the Verb Ser,Unknown,"Streaming Video, 2015"
Definite Articles and Nouns,Unknown,"Streaming Video, 2015"
"Affirmatives, Negatives, and Demonstratives",Unknown,"Streaming Video, 2015"
Superlatives and Equal Comparisons,Unknown,"Streaming Video, 2015"
Irregular Verbs in the Preterite,Unknown,"Streaming Video, 2015"
Double Object Pronouns,Unknown,"Streaming Video, 2015"
The Verb Ir in the Present,Unknown,"Streaming Video, 2015"
The Verb Estar and Numbers over 100,Unknown,"Streaming Video, 2015"
"Ver, Dar, and Other Irregular Verbs",Unknown,"Streaming Video, 2015"
The Present Progressive,Unknown,"Streaming Video, 2015"
Indefinite Articles and Numbers to 100,Unknown,"Streaming Video, 2015"
Learn Spanish For Beginners,Language Library,"eBook, 2021"
Learn Intermediate Spanish In 30 Days,Language Library,"eBook, 2021"
Traveling in Spanish,"Gardner, James M.","eAudiobook, 2020 — Chinese"
"Learn Latin American Spanish for Beginners, Volume 1","Academy, Language","eAudiobook, 2020"
Learn Spanish,"Alfaro, Adrian","eBook, 2020"
Diversión en serio: Cómo el juego guiado amplía el aprendizaje de los niños,"Masterson, Marie L.","eBook, 2019 — Spanish"
Learning Agility,"Hallenbeck, George","eBook, 2018 — Spanish"
Spanish Basics for Beginners,"Frobose, Mark","eAudiobook, 2015"
Real Spanish 101,"Frobose, Mark","eAudiobook, 2015"
Spanish Basics Intermediate Level,"Frobose, Mark","eAudiobook, 2015"
Real Spanish 102,"Frobose, Mark","eAudiobook, 2015"
Cuando tu hijo tiene dificultades de aprendizaje,"Fisher, Gary L.","Book, 2004 — Spanish"
Muse of Fire,Unknown,"Streaming Video, 2015"
Kids Learn Spanish Songs,Nashville Kids Sound (Musical group),"Streaming Music, 2006 — Spanish"
Spanish,Nashville Kids Sound (Musical group),"Streaming Music, 1994 — Spanish"
IA PARA PRINCIPIANTES: Aprendizaje Profundo (Deep Learning),Pmdigital,"eBook, 2025 — Spanish"
Primer Año De Cálculo,"Falbo, Clement E.","eBook, 2025 — Spanish"
Aprendiendo a quererte (Learning to Love You),"Westwood, Jana","eAudiobook, 2024 — Spanish"
"Machine Learning Aplicado Al Rendimiento Académico En Educación Superior: Factores, Variables Y H...",Leonardo Emiro Contreras; Giovanny Mauricio Tarazona Bermúdez; Angie Paola Alemán Cardona,"eBook, 2023 — Spanish"
Aprender a ser padres (Learning to Become Parents),María Del Carmen Míguez,"eAudiobook, 2022 — Spanish"
Educación a distancia (Distance Learning),"Murray, Julie","eBook, 2020 — Spanish"
Libro blanco del e-learning,Various Authors,"eBook, 2020 — Spanish"
Aprende sobre los tiburones (Learning about Sharks),"Otterman, Joseph","eBook, 2020 — Spanish"
Aprendamos Sobre la Expansión Hacia el Oeste con Artes y Manualidades (Learning About the Westward E,"Collison, Campbell","eBook, 2020 — Spanish"
E-learning en la formación profesional para el empleo,Isabel María Márquez Pérez,"eBook, 2019 — Spanish"
"Intelligence, Play & Learning (Dr. Brain)",Unknown,"Streaming Video, 2019 — Spanish"
¡Compartir es genial! (Learning to Share),"Rusu, Meredith","eBook, 2018 — Spanish"
Learning to Drive,Unknown,"DVD, 2016"
El Amor caminó entre nosotros,"Miller, Paul E.","eBook, 2015 — Spanish"
Easy Learning Verbos ingleses,Collins,"eBook, 2013 — Spanish"
Easy Learning Vocabulario de inglés,Various Authors,"eBook, 2013 — Spanish"
Pocoyo,Unknown,"DVD, 2013"
Developmental Assignments,"McCauley, Cynthia D.","eBook, 2008 — Spanish"
Cuentos para aprender a aprend (Stories to Learn about Learning),Jose Maria Doria,"eAudiobook, 2006 — Spanish"
Higher Learning,Unknown,"DVD, 2001"
Borat,Unknown,"DVD, 2007"
Adiós a la inflamación,"Moñino, Sandra","Book, 2025 — Spanish"
Super dinosaurios,"Barker, Chris","Book, 2021 — Spanish"
"How to Play Guitar, Acoustic and Electric--learn to Play Like A Rock Hero",Unknown,"Book, 2017"
Complete Spanish Grammar Review,"Harvey, William C","Book, 2016"
